AGNO_EVAL;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;MRUN;DOC_GENERO;DOC_FEC_NAC;NIVEL;PF_PJE;PF_ESC;PF_Cat_Carrera;INSTR_PJE;INSTR_ESC
2019;5091;1;ESCUELA GABRIELA MISTRAL;8;82;8205;CURANILAHUE;84;ARAUCO;2;1;0;14520850;1;195110;3;2,03;B;D;2,52;C
2019;9720;9;COLEGIO HERNAN OLGUIN;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;756401;1;195310;3;2,08;B;D;2,35;B
2019;2134;2;LICEO COMERCIAL JORGE ALESSANDRI R.;6;61;6101;RANCAGUA;61;CACHAPOAL;1;1;0;23537487;1;195202;7;2,05;B;D;2,43;B
2019;3654;4;ESCUELA BASICA LOS HEROES;16;161;16101;CHILLÁN;81;ÑUBLE;2;1;0;23504971;1;195207;3;1,8;I;E;2,48;B
2019;656;4;LICEO PEDRO REGALADO S. VIDELA O.;4;41;4103;ANDACOLLO;41;ELQUI;6;5;0;20942830;1;195202;7;2,56;C;B;3,04;D
2019;5569;7;LICEO GABRIELA MISTRAL DE TEMUCO;9;91;9101;TEMUCO;92;CAUTÍN NORTE;2;1;0;22828480;1;195708;4;2;B;D;2;B
2019;10842;1;ESCUELA BASICA VALLE DE PUANGUE;13;135;13503;CURACAVÍ;135;TALAGANTE;2;1;0;7603187;1;195509;3;2;B;D;2,3;B
2019;8519;7;ESCUELA BASICA PEDRO AGUIRRE CERDA;13;131;13102;CERRILLOS;134;SANTIAGO PONIENTE;2;1;0;19563166;1;195206;3;1,8;I;E;2,28;B
2019;3404;5;ESCUELA IGNACIO URRUTIA DE LA SOTTA;7;74;7404;PARRAL;73;LINARES;2;1;1;18265579;1;195202;3;2,4;B;C;2,74;C
2019;712;9;ESCUELA BÁSICA ARTURO ALESSANDRI PALMA;4;43;4301;OVALLE;42;LIMARÍ;2;1;0;20989751;2;195306;5;2,18;B;D;2,81;C
2019;9642;3;ESCUELA PARTICULAR TTE.DAGOBERTO GODOY;13;131;13111;LA GRANJA;132;SANTIAGO SUR;3;2;0;12206120;2;195302;2;1,8;I;E;-1;N/A
2019;8479;4;ESCUELA CERRO SOMBRERO;12;123;12302;PRIMAVERA;121;MAGALLANES;2;1;1;16487068;1;195108;3;2,05;B;D;2,43;B
2019;3814;8;ESCUELA LAS ROSAS;16;163;16303;ÑIQUÉN;81;ÑUBLE;2;1;1;7721300;1;195101;3;1,86;I;E;2,62;C
2019;4709;0;LICEO TECNICO DE TALCAHUANO;8;81;8110;TALCAHUANO;83;CONCEPCIÓN;2;1;0;1059220;1;195411;4;2,1;B;D;2,76;C
2019;2123;7;INSTITUTO TECNOLOGICO MINERO BERNARDO OHIGGINS;6;61;6101;RANCAGUA;61;CACHAPOAL;1;1;0;588038;1;194803;7;1,48;I;E;2,19;B
2019;4478;4;ESCUELA LOS CASTANOS;8;83;8306;NACIMIENTO;82;BIOBÍO;2;1;1;22778026;1;195108;2;2,05;B;D;2,73;C
2019;4737;6;COLEGIO BASICO VILLA ACERO;8;81;8112;HUALPÉN;83;CONCEPCIÓN;2;1;0;19428709;2;195505;1;2,3;B;C;2,38;B
2019;9727;6;ESCUELA CIUDAD DE BARCELONA;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;2;1;0;19751863;1;195304;3;2,15;B;D;2,09;B
2019;15665;5;LICEO INTEGRADO DE ADULTOS;6;61;6106;GRANEROS;61;CACHAPOAL;2;1;0;21944138;1;195407;6;2,2;B;D;2,62;C
2019;3395;2;ESCUELA NIDER ORREGO QUEVEDO;7;74;7404;PARRAL;73;LINARES;2;1;0;12821503;1;195109;3;1,85;I;E;2,41;B
2019;968;7;LICEO POLITECNICO PABLO RODRIGUEZ CAVIEDES;4;42;4201;ILLAPEL;43;CHOAPA;2;1;0;24784867;1;194901;7;1,84;I;E;2,4;B
2019;10399;3;LICEO POLIVALENTE RIGOBERTO FONTT I.;13;133;13301;COLINA;137;SANTIAGO NORTE;1;1;0;17701981;1;195308;7;1,78;I;E;2,27;B
2019;10250;4;CENTRO EDUCACIONAL DE HUECHURABA;13;131;13107;HUECHURABA;137;SANTIAGO NORTE;2;1;0;2640955;1;195410;6;1,85;I;E;2,02;B
2019;14470;3;LICEO POLITÉCNICO MARGA MARGA;5;58;5801;QUILPUÉ;53;VALPARAÍSO;1;1;0;4151477;1;195503;4;1,9;I;E;2,04;B
2019;7753;4;ESCUELA BASICA FRONTERIZA JUAN SOLER MANFREDINI;10;101;10103;COCHAMÓ;101;LLANQUIHUE;2;1;1;20971988;1;195304;4;1,6;I;E;2,16;B
2019;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;9744298;2;195209;4;2,63;C;B;3,18;D
2019;124;4;LICEO LUIS CRUZ MARTINEZ;1;11;1101;IQUIQUE;11;IQUIQUE;1;1;0;7609963;1;195210;7;1,45;I;E;1,76;I
2019;18112;9;LICEO INES ENRIQUEZ FRODDEN;8;81;8104;FLORIDA;83;CONCEPCIÓN;2;1;0;11980409;1;194809;4;2,25;B;D;2,35;B
2019;6805;5;ESCUELA RURAL SANTO DOMINGO;14;141;14101;VALDIVIA;141;VALDIVIA;2;1;1;9021654;1;195310;2;2,05;B;D;2,53;C
2019;5538;7;ESCUELA GUSTAVO VASQUEZ DIAZ;9;92;9206;LOS SAUCES;91;MALLECO;2;1;0;6221943;1;195012;3;2,05;B;D;2,43;B
2019;5408;9;ESCUELA PAILAHUEQUE;9;92;9211;VICTORIA;91;MALLECO;2;1;1;4843035;1;195307;3;2,2;B;D;2,22;B
2019;11144;9;ESCUELA DIEGO DE ALMEYDA;4;41;4102;COQUIMBO;41;ELQUI;3;2;0;16201311;2;194412;2;1;I;E;-1;N/A
2019;9740;3;ESCUELA BASICA REPUBLICA DE LAS FILIPINAS;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;11811112;2;195205;2;2,35;B;C;2,41;B
2019;726;9;ESCUELA QUEBRADA SECA DE SOTAQUI;4;43;4301;OVALLE;42;LIMARÍ;2;1;1;9983575;1;195502;2;1,4;I;E;2,04;B
2019;2625;5;LICEO BICENTENARIO VICTOR JARA MARTINEZ;6;63;6307;PERALILLO;62;COLCHAGUA;2;1;0;3658105;1;195901;4;2,26;B;C;2,96;C
2019;10970;3;LICEO JORGE ALESSANDRI RODRIGUEZ;2;22;2201;CALAMA;22;EL LOA;1;1;0;10617520;1;195105;4;1,4;I;E;1,84;I
2019;2559;3;ESCUELA MUNICIPAL DE BARREALES;6;63;6310;SANTA CRUZ;62;COLCHAGUA;2;1;1;1602160;2;195308;2;2,66;C;B;3,1;D
2019;2551;8;LICEO MUNICIPAL DE SANTA CRUZ;6;63;6310;SANTA CRUZ;62;COLCHAGUA;2;1;0;16270931;1;195110;4;1,95;I;E;2,17;B
2019;22540;1;INSTITUTO ITALIA DE VALDIVIA;14;141;14101;VALDIVIA;141;VALDIVIA;2;1;0;12538742;1;195309;4;2,13;B;D;2,38;B
2019;8498;0;LICEO DARIO SALAS;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;2;1;0;8931892;2;195008;2;2,4;B;C;2,74;C
2019;3328;6;LICEO CAPITAN IGNACIO CARRERA PINTO;7;74;7402;COLBÚN;73;LINARES;2;1;0;3800620;1;195610;4;2,2;B;D;2,62;C
2019;2552;6;INSTITUTO POLITECNICO;6;63;6310;SANTA CRUZ;62;COLCHAGUA;2;1;0;15138773;2;195311;7;1,93;I;E;2,46;B
2019;8206;6;LICEO MANUEL JESUS ANDRADE BORQUEZ;10;102;10203;CHONCHI;102;CHILOÉ;1;1;0;22609566;2;195311;3;1,7;I;E;2,32;B
2019;2945;9;ESCUELA PROSPERIDAD;7;71;7101;TALCA;72;TALCA;2;1;0;285455;2;195508;5;1,8;I;E;2,08;B
2019;9006;9;COMPLEJO EDUCACIONAL LA REINA;13;131;13113;LA REINA;133;SANTIAGO ORIENTE;1;1;0;8636550;1;194902;7;2,39;B;C;2,43;B
2019;8485;9;LICEO INSTITUTO NACIONAL;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;2;1;0;4644144;1;195208;4;1,8;I;E;2,08;B
2019;20427;7;ESCUELA BASICA ÑIPAS;16;162;16206;RANQUIL;81;ÑUBLE;2;1;0;16304502;1;195401;3;1,8;I;E;2,38;B
2019;88;4;ESCUELA ALCERRECA;15;152;15202;GENERAL LAGOS;151;ARICA;2;1;1;20159573;1;195309;3;2,18;B;D;2,31;B
2019;1261;0;LICEO DOCTOR ROBERTO HUMERES O.;5;57;5701;SAN FELIPE;52;LOS ANDES;2;1;0;18184167;1;195508;4;1,8;I;E;2,38;B
2019;4987;5;ESCUELA BASICA JAVIERA CARRERA;8;81;8102;CORONEL;83;CONCEPCIÓN;2;1;0;3060989;2;195504;3;2,15;B;D;2,59;C
2019;5202;7;ESCUELA MAPODUNGUN;8;82;8207;TIRÚA;84;ARAUCO;2;1;1;19765599;1;195305;3;2,55;C;B;2,43;B
2019;2022;2;ESCUELA BASICA SAN JOSE DE CALASANZ;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;2;1;0;19943000;2;195407;3;1,95;I;E;2,47;B
2019;222;4;CENTRO EDUC.INTEGRAL DE ADULTOS C.E.I.A;2;22;2201;CALAMA;22;EL LOA;1;1;0;11122030;1;195403;6;1,83;I;E;2,2;B
2019;9695;4;LICEO POLIVALENTE EUGENIO PEREIRA SALAS;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;2;1;0;12875425;2;195405;3;2,7;C;B;2,62;C
2019;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;21201231;1;195112;7;1,96;I;E;2,48;B
2019;5248;5;ESCUELA REPUBLICA DE AUSTRIA;9;92;9201;ANGOL;91;MALLECO;2;1;1;13268716;1;195404;3;1,93;I;E;2,26;B
2019;2012;5;PROFESOR JUAN DANTE PARRAGUEZ ARELLANO;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;2;1;0;18157722;1;195312;4;1,75;I;E;2,35;B
2019;5135;7;ESCUELA BASICA PAICAVI;8;82;8203;CAÑETE;84;ARAUCO;2;1;1;1791785;2;195011;3;2,28;B;C;2,47;B
2019;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;2555907;1;195102;7;2,07;B;D;2,14;B
2019;8352;6;LICEO REPUBLICA ARGENTINA;11;111;11101;COYHAIQUE;111;COYHAIQUE;2;1;0;20808377;1;195410;4;2,23;B;D;2,54;C
2019;9408;0;LICEO POLITECNICO DE SAN JOAQUIN;13;131;13129;SAN JOAQUÍN;131;SANTIAGO CENTRO;5;4;0;7011081;2;194902;7;2,02;B;D;-1;N/A
2019;10845;6;LICEO PRESIDENTE BALMACEDA;13;135;13503;CURACAVÍ;135;TALAGANTE;2;1;0;5226278;1;195301;4;1,85;I;E;2,01;B
2019;9695;4;LICEO POLIVALENTE EUGENIO PEREIRA SALAS;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;2;1;0;3586904;1;195202;4;2,2;B;D;2,52;C
2019;950;4;ESCUELA LA CEBADAS;4;43;4301;OVALLE;42;LIMARÍ;2;1;1;13970445;1;195306;2;2,05;B;D;2,23;B
2019;4345;1;ESCUELA BASICA RIO PARDO;8;83;8309;QUILLECO;82;BIOBÍO;2;1;1;8190390;1;194906;2;1,95;I;E;2,37;B
2019;8487;5;LICEO JAVIERA CARRERA;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;2;1;0;12332837;1;195507;4;1,88;I;E;2,23;B
2019;10527;9;ESCUELA JULIETA BECERRA ALVAREZ;13;132;13203;SAN JOSÉ DE MAIPO;136;CORDILLERA;1;1;0;1776866;2;196208;5;2,25;B;D;2,75;C
2019;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;13181394;1;195303;6;2,1;B;D;2,46;B
2019;10270;9;CENTRO EDUC.ESCRITORES DE CHILE;13;131;13127;RECOLETA;137;SANTIAGO NORTE;2;1;0;12408029;2;195906;1;1,9;I;E;2,44;B
2019;12716;7;COLEGIO MIRAMAR;15;151;15101;ARICA;151;ARICA;3;2;0;13405931;1;195411;7;2,12;B;D;-1;N/A
2019;8489;1;LICEO BICENTENARIO TERESA PRATS;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;2;1;0;6311453;1;195511;4;1,98;I;E;2,39;B
2019;9122;7;ESCUELA JULIO MONTT SALAMANCA;13;131;13118;MACUL;133;SANTIAGO ORIENTE;1;1;0;11828842;2;195610;2;2,35;B;C;2,71;C
2019;4102;5;LICEO POLIVALENTE CARLOS MONTANE CASTRO;16;162;16201;QUIRIHUE;81;ÑUBLE;2;1;0;15670061;1;195504;4;2,5;B;C;3;C
2019;9601;6;CENTRO EDUCACIONAL MUNICIPAL SAN RAMON;13;131;13131;SAN RAMÓN;132;SANTIAGO SUR;2;1;0;1714779;1;195207;4;1,6;I;E;2,26;B
2019;1681;0;COLEGIO REPUBLICA DE COLOMBIA;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;1;0;1187899;2;195507;3;2,16;B;D;2,7;C
2019;31345;5;LICEO POLITÉCNICO LOS ARENALES;2;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;1;1;0;24369589;2;195008;4;2,08;B;D;2,45;B
2019;3055;4;LICEO SAN CLEMENTE ENTRE RIOS;7;71;7109;SAN CLEMENTE;72;TALCA;2;1;0;7380954;1;195602;7;1,97;I;E;2,18;B
2019;5087;3;ESCUELA COLICO SUR;8;82;8205;CURANILAHUE;84;ARAUCO;2;1;0;3826685;1;195206;3;1,75;I;E;2,35;B
2019;24444;9;LICEO INDUSTRIAL HARDWARE;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;1;1;0;22493086;1;195412;7;1,8;I;E;2,28;B
2019;1049;9;COLEGIO DIEGO DE ALMAGRO;4;42;4203;LOS VILOS;43;CHOAPA;2;1;0;14399475;1;195302;3;2,05;B;D;2,43;B
2019;4732;5;ESCUELA BASICA CRUZ DEL SUR;8;81;8110;TALCAHUANO;83;CONCEPCIÓN;2;1;0;2596251;1;195604;3;2,4;B;C;2,84;C
2019;10545;7;LICEO IND. MIGUEL AYLWIN GAJARDO;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;1;1;0;3854584;2;195305;4;2,13;B;D;2,4;B
2019;10453;1;LICEO IND. MUNICIPALIZADO A N_ 116;13;132;13201;PUENTE ALTO;136;CORDILLERA;1;1;0;3759614;1;195408;7;1,06;I;E;1,94;I
2019;89;2;ESCUELA HUMAPALCA;15;152;15202;GENERAL LAGOS;151;ARICA;2;1;1;14465831;1;195208;2;2,5;B;C;2,7;C
2019;90;6;ESCUELA INTERNADO VISVIRI;15;152;15202;GENERAL LAGOS;151;ARICA;2;1;1;10176795;1;195306;3;2,23;B;D;2,24;B
2019;24403;1;COLEGIO SIMON BOLIVAR;13;131;13112;LA PINTANA;136;CORDILLERA;2;1;0;307374;1;195308;6;2,05;B;D;2,53;C
2019;225;9;ESCUELA REPUBLICA DE BOLIVIA;2;22;2201;CALAMA;22;EL LOA;1;1;0;1119047;1;195402;3;2,05;B;D;2,23;B
2019;8404;2;ESCUELA AONIKENK;11;114;11402;RÍO IBÁÑEZ;111;COYHAIQUE;2;1;1;10963604;1;195510;3;2,15;B;D;2,59;C
2019;11283;6;ESCUELA CARDONAL PANILONCO;6;62;6201;PICHILEMU;63;CARDENAL CARO;2;1;1;5262072;1;195106;3;2,07;B;D;2,54;C
2019;10589;9;ESCUELA HARAS LOS CONDORES;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;1;1;1;1239474;2;195211;3;1,85;I;E;2,31;B
2019;12716;7;COLEGIO MIRAMAR;15;151;15101;ARICA;151;ARICA;3;2;0;2965336;1;195010;7;1,43;I;E;-1;N/A
2019;9013;1;ESCUELA PALESTINA;13;131;13113;LA REINA;133;SANTIAGO ORIENTE;1;1;0;24863519;2;195906;3;2,58;C;B;2,85;C
2019;5569;7;LICEO GABRIELA MISTRAL DE TEMUCO;9;91;9101;TEMUCO;92;CAUTÍN NORTE;2;1;0;10478866;1;195204;4;1,83;I;E;1,7;I
2019;31432;3;LICEO ALTO CORDILLERA DE LA FLORIDA;13;131;13110;LA FLORIDA;136;CORDILLERA;1;1;0;1694260;2;195801;3;2,5;B;C;2,7;C
2019;5921;8;COMPLEJO EDUCACIONAL PADRE NICOLAS;9;91;9119;VILCÚN;92;CAUTÍN NORTE;3;2;0;22456514;1;195606;4;2,03;B;D;-1;N/A
2019;10091;9;ESCUELA PROFESORA GLADYS VALENZUELA V;13;131;13117;LO PRADO;134;SANTIAGO PONIENTE;6;5;0;21053103;1;195303;4;1,6;I;E;2,06;B
2019;4740;6;C.E.I.A. HUALPENCILLO;8;81;8112;HUALPÉN;83;CONCEPCIÓN;2;1;0;7046965;1;195510;6;1,95;I;E;2,47;B
2019;5374;0;LICEO ALONSO DE ERCILLA Y ZUÑIGA;9;92;9204;ERCILLA;91;MALLECO;2;1;0;19199997;1;195508;5;2,13;B;D;2,58;C
2019;4594;2;ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA;8;81;8108;SAN PEDRO DE LA PAZ;83;CONCEPCIÓN;2;1;0;13271122;2;195709;2;2,45;B;C;2,57;C
2019;2612;3;LICEO SAN JOSE DEL CARMEN;6;63;6306;PALMILLA;62;COLCHAGUA;2;1;1;5760154;2;195701;3;2,42;B;C;2,75;C
2019;532;0;CEN.ED.INT.DE ADUL.ESTER VILLARREAL CASTILLO;4;41;4101;LA SERENA;41;ELQUI;1;1;0;22174240;2;195612;6;2,5;B;C;2,8;C
2019;11417;0;ESCUELA ADULTOS LAS AMERICAS;8;81;8110;TALCAHUANO;83;CONCEPCIÓN;2;1;0;13898033;1;195307;6;1,99;I;E;2,49;B
2019;8494;8;LICEO A-1 VALENTIN LETELIER;13;131;13127;RECOLETA;137;SANTIAGO NORTE;2;1;0;6396444;1;195304;4;2,05;B;D;2,43;B
2019;2627;1;ESCUELA GUSTAVO RIVERA BUSTOS;6;63;6307;PERALILLO;62;COLCHAGUA;2;1;1;24948396;1;195305;2;2,85;C;B;3,31;D
2019;2021;4;PADRE ANDRE COINDRE;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;2;1;0;23598435;2;195104;6;2,6;C;B;2,86;C
2019;5060;1;ESCUELA ARMANDO WIESSE FUENTE-ALBA;8;82;8202;ARAUCO;84;ARAUCO;2;1;1;3241901;2;195602;2;1,8;I;E;2,28;B
2019;4231;5;ESCUELA BASICA LA LEYENDA;8;83;8301;LOS ÁNGELES;82;BIOBÍO;2;1;1;13175651;1;195308;2;1,85;I;E;2,41;B
2019;4748;1;ESCUELA REPUBLICA BOLIVARIANA DE VENEZUELA;8;81;8110;TALCAHUANO;83;CONCEPCIÓN;2;1;0;15142047;1;195703;3;2,55;C;B;2,73;C
2019;11993;8;ESCUELA BASICA JUAN PABLO DUARTE;13;131;13123;PROVIDENCIA;133;SANTIAGO ORIENTE;1;1;0;16929001;1;195703;4;1,8;I;E;2,28;B
2019;9741;1;ESCUELA BASICA COEDUCACIONAL;13;131;13116;LO ESPEJO;132;SANTIAGO SUR;2;1;0;14246145;1;195603;3;1;I;E;1,4;I
2019;25642;0;ESCUELA BAS. MUNIC. CUYUNCAVI;13;135;13503;CURACAVÍ;135;TALAGANTE;2;1;0;12230307;1;195309;3;2,55;C;B;2,63;C
2019;4946;8;ESCUELA LA GENERALA;8;81;8109;SANTA JUANA;83;CONCEPCIÓN;2;1;1;21858599;2;195602;3;1,85;I;E;2,21;B
2019;4500;4;LICEO ISIDORA AGUIRRE TUPPER;8;83;8310;SAN ROSENDO;82;BIOBÍO;2;1;0;24905793;1;195009;4;1;I;E;1,1;I
2019;6009;7;ESC. BASICA MOLULCO;9;91;9110;MELIPEUCO;92;CAUTÍN NORTE;2;1;1;19265288;1;195107;2;2,02;B;D;2,41;B
2019;19906;0;LICEO POLITECNICO EMA ESPINOZA CORREA;9;91;9108;LAUTARO;92;CAUTÍN NORTE;2;1;0;18085523;1;195508;7;1,75;I;E;2,35;B
2019;2491;0;ESCUELA MUNICIPAL LAS QUEZADAS F-413;6;63;6303;CHIMBARONGO;62;COLCHAGUA;2;1;1;5538135;2;195203;3;2;B;D;1,9;I
2019;103;1;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA;1;11;1101;IQUIQUE;11;IQUIQUE;1;1;0;4203108;1;195403;3;2,05;B;D;2,33;B
2019;4594;2;ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA;8;81;8108;SAN PEDRO DE LA PAZ;83;CONCEPCIÓN;2;1;0;19085865;1;195709;3;2,65;C;B;3,09;D
2019;10074;9;ESCUELA ALIANZA;13;131;13103;CERRO NAVIA;134;SANTIAGO PONIENTE;6;5;0;23754576;2;195804;2;2,3;B;C;2,48;B
2019;16716;9;LICEO BICENTENARIO ZAPALLAR DE CURICO;7;73;7301;CURICÓ;71;CURICÓ;2;1;0;8266609;1;195611;4;2,05;B;D;2,43;B
